Country,League,Season,Date,Time,Home,Away,HG,AG,Res
Brazil,Serie A,2024,2024-09-14,22:30,Athletico-PR,Fortaleza,1,1,D
Brazil,Serie A,2024,2024-09-15,01:00,Botafogo RJ,Corinthians,2,1,H
Brazil,Serie A,2024,2024-09-15,20:00,Bragantino,Gremio,2,2,D
Brazil,Serie A,2024,2024-09-15,20:00,Juventude,Fluminense,2,1,H
Brazil,Serie A,2024,2024-09-15,20:00,Palmeiras,Criciuma,5,0,H
Brazil,Serie A,2024,2024-09-15,22:30,Bahia,Atletico-MG,3,0,H
Brazil,Serie A,2024,2024-09-15,22:30,Cruzeiro,Sao Paulo,0,1,A
Brazil,Serie A,2024,2024-09-15,22:30,Flamengo RJ,Vasco,1,1,D
Brazil,Serie A,2024,2024-09-17,00:00,Internacional,Cuiaba,3,0,H
Brazil,Serie A,2024,2024-09-21,20:00,Corinthians,Atletico GO,3,0,H
Brazil,Serie A,2024,2024-09-21,20:00,Vitoria,Juventude,1,0,H
Brazil,Serie A,2024,2024-09-21,22:30,Fluminense,Botafogo RJ,0,1,A
Brazil,Serie A,2024,2024-09-22,01:00,Fortaleza,Bahia,4,1,H
Brazil,Serie A,2024,2024-09-22,20:00,Atletico-MG,Bragantino,3,0,H
Brazil,Serie A,2024,2024-09-22,20:00,Vasco,Palmeiras,0,1,A
Brazil,Serie A,2024,2024-09-22,22:30,Cuiaba,Cruzeiro,0,0,D
Brazil,Serie A,2024,2024-09-22,22:30,Gremio,Flamengo RJ,3,2,H
Brazil,Serie A,2024,2024-09-22,22:30,Sao Paulo,Internacional,1,3,A
Brazil,Serie A,2024,2024-09-23,00:00,Criciuma,Athletico-PR,0,0,D
Brazil,Serie A,2024,2024-09-25,23:00,Bragantino,Internacional,2,2,D
Brazil,Serie A,2024,2024-09-25,23:00,Gremio,Criciuma,1,2,A
Brazil,Serie A,2024,2024-09-28,22:30,Palmeiras,Atletico-MG,2,1,H
Brazil,Serie A,2024,2024-09-29,01:00,Botafogo RJ,Gremio,0,0,D
Brazil,Serie A,2024,2024-09-29,15:00,Juventude,Bragantino,1,1,D
Brazil,Serie A,2024,2024-09-29,20:00,Atletico GO,Fluminense,1,0,H
Brazil,Serie A,2024,2024-09-29,20:00,Fortaleza,Cuiaba,1,0,H
Brazil,Serie A,2024,2024-09-29,20:00,Sao Paulo,Corinthians,3,1,H
Brazil,Serie A,2024,2024-09-29,22:30,Bahia,Criciuma,1,0,H
Brazil,Serie A,2024,2024-09-29,22:30,Cruzeiro,Vasco,1,1,D
Brazil,Serie A,2024,2024-09-29,22:30,Internacional,Vitoria,3,1,H
Brazil,Serie A,2024,2024-09-30,00:00,Flamengo RJ,Athletico-PR,1,0,H
Brazil,Serie A,2024,2024-10-03,23:00,Criciuma,Atletico GO,2,0,H
Brazil,Serie A,2024,2024-10-04,01:30,Fluminense,Cruzeiro,1,0,H
Brazil,Serie A,2024,2024-10-05,01:30,Gremio,Fortaleza,3,1,H
Brazil,Serie A,2024,2024-10-05,20:30,Athletico-PR,Botafogo RJ,0,1,A
Brazil,Serie A,2024,2024-10-05,20:30,Atletico-MG,Vitoria,2,2,D
Brazil,Serie A,2024,2024-10-05,20:30,Bragantino,Palmeiras,0,0,D
Brazil,Serie A,2024,2024-10-05,23:00,Bahia,Flamengo RJ,0,2,A
Brazil,Serie A,2024,2024-10-05,23:00,Corinthians,Internacional,2,2,D
Brazil,Serie A,2024,2024-10-05,23:00,Cuiaba,Sao Paulo,2,0,H
Brazil,Serie A,2024,2024-10-06,01:00,Vasco,Juventude,1,1,D
Brazil,Serie A,2024,2024-10-09,23:30,Atletico-MG,Gremio,2,1,H
Brazil,Serie A,2024,2024-10-17,01:45,Fortaleza,Atletico-MG,1,1,D
Brazil,Serie A,2024,2024-10-17,01:45,Sao Paulo,Vasco,3,0,H
Brazil,Serie A,2024,2024-10-18,00:00,Corinthians,Athletico-PR,5,2,H
Brazil,Serie A,2024,2024-10-18,00:00,Flamengo RJ,Fluminense,0,2,A
